text,label
"
    Invoice #: 3429
    Date: 2025-03-04
    Billed To: Danielle Taylor
    Address: 449 Ellen Ferry Apt. 542
South Michelle, NE 61710
    - little: $58
- begin: $60
- commercial: $471
    Total: $355
    ",invoice
"
    Bank Statement
    Name: Robert Jones
    Account #: GB54BVRP94929526781159
    2025-02-16 - Smith Inc - $30
2025-03-19 - Watts-Rose - $149
2025-02-07 - Brown Ltd - $128
2025-02-13 - Daniel, Benton and Stokes - $183
2025-01-24 - Goodwin-Kim - $67
    Closing Balance: $1246
    ",bank_statement
"
    Driver's License
    Name: James Dennis
    Address: USNV Hughes
FPO AE 31198
    DOB: 1985-08-02
    License #: ZE239573
    Expiry: 2031-08-16
    ",drivers_license
"
    Health Insurance Card
    Name: Michael Rojas
    Policy Number: dA439202338
    Member ID: 2fab750c-8994-4161-aabd-551a36494389
    Group #: 6826
    Plan Type: HMO
    Coverage Start Date: 2025-05-02
    Coverage End Date: 2027-03-24
    Issuer: Henderson Inc
    ",health_insurance_card
"
    Invoice #: 1677
    Date: 2025-02-27
    Billed To: Misty Riggs
    Address: 74670 Hawkins Port
West Andrew, HI 57377
    - page: $296
- eat: $129
- car: $273
    Total: $886
    ",invoice
"
    Bank Statement
    Name: Stephen Wilkinson
    Account #: GB75HXLE28244008268602
    2025-04-19 - Kennedy, Glover and Shah - $205
2025-02-28 - Hunter, Cruz and Mitchell - $55
2025-05-08 - Brown Group - $12
2025-04-20 - Gould Group - $186
2025-02-07 - Golden Group - $238
    Closing Balance: $1290
    ",bank_statement
"
    Driver's License
    Name: Diana Edwards
    Address: 8253 Benjamin Flat Apt. 133
East Melissa, UT 31791
    DOB: 1979-06-09
    License #: dM975898
    Expiry: 2033-05-11
    ",drivers_license
"
    Health Insurance Card
    Name: Michael Mcdaniel
    Policy Number: aV956926112
    Member ID: c2b8c158-cd91-4355-ab3c-da1e854f27de
    Group #: 6514
    Plan Type: EPO
    Coverage Start Date: 2025-05-03
    Coverage End Date: 2027-10-11
    Issuer: Duncan-Wilson
    ",health_insurance_card
"
    Invoice #: 7118
    Date: 2025-01-01
    Billed To: Lucas Tapia
    Address: 83032 Johnson Trafficway
New Johnstad, IN 06005
    - someone: $62
- blood: $84
- enjoy: $340
    Total: $351
    ",invoice
"
    Bank Statement
    Name: Mr. Evan Strickland MD
    Account #: GB36RPXN57604211935266
    2025-01-29 - Foley, Williams and Oliver - $25
2025-03-30 - Wyatt, Malone and Jimenez - $189
2025-03-18 - Bryan, Lewis and Glass - $93
2025-01-04 - Garner Ltd - $300
2025-02-12 - Curry, Cochran and Wilson - $291
    Closing Balance: $1875
    ",bank_statement
"
    Driver's License
    Name: Stephanie Williams
    Address: 806 Heather Keys Suite 215
Clintonview, TX 57438
    DOB: 1958-07-27
    License #: qD830580
    Expiry: 2029-09-25
    ",drivers_license
"
    Health Insurance Card
    Name: Kayla Yates
    Policy Number: nJ170507951
    Member ID: 8ed4908b-245d-42bc-b1e6-5d56e2c1b28a
    Group #: 2311
    Plan Type: PPO
    Coverage Start Date: 2025-04-30
    Coverage End Date: 2026-07-04
    Issuer: Marks-Orr
    ",health_insurance_card
"
    Invoice #: 9491
    Date: 2025-01-20
    Billed To: Samuel Garcia
    Address: Unit 3882 Box 4786
DPO AA 56371
    - president: $255
- edge: $390
- material: $451
    Total: $677
    ",invoice
"
    Bank Statement
    Name: Madeline Morris
    Account #: GB51WQUL20484885521568
    2025-02-11 - Jones Inc - $294
2025-03-13 - Scott-Palmer - $25
2025-03-14 - Herrera, Stevenson and Hughes - $85
2025-03-17 - Payne Inc - $15
2025-01-09 - George Inc - $12
    Closing Balance: $4549
    ",bank_statement
"
    Driver's License
    Name: James Herrera
    Address: 68447 Sabrina Streets
Caldwellfort, NJ 16327
    DOB: 2004-02-26
    License #: Sh590779
    Expiry: 2029-10-27
    ",drivers_license
"
    Health Insurance Card
    Name: Melissa Williams
    Policy Number: sn954071107
    Member ID: 3c21b0cf-00dd-48cc-a3f1-03a96ad7b904
    Group #: 3024
    Plan Type: PPO
    Coverage Start Date: 2025-04-19
    Coverage End Date: 2030-03-18
    Issuer: Murphy Group
    ",health_insurance_card
"
    Invoice #: 3208
    Date: 2025-01-24
    Billed To: Tyler Smith
    Address: USCGC Hawkins
FPO AP 40200
    - likely: $62
- five: $348
- work: $345
    Total: $444
    ",invoice
"
    Bank Statement
    Name: Jennifer Wilson
    Account #: GB87JHBB94383363149042
    2025-05-06 - Tran-Kennedy - $190
2025-02-28 - Myers LLC - $147
2025-04-07 - Williams Ltd - $149
2025-03-01 - Marshall, Garcia and Carter - $194
2025-01-26 - Miller and Sons - $191
    Closing Balance: $4435
    ",bank_statement
"
    Driver's License
    Name: Nathan May
    Address: 596 Danielle Spur
North Kellyburgh, OR 45295
    DOB: 1951-10-08
    License #: BW732905
    Expiry: 2034-08-11
    ",drivers_license
"
    Health Insurance Card
    Name: Aaron Morgan
    Policy Number: KD498375163
    Member ID: 0632e45c-873a-4194-bf4a-5c29aa591e14
    Group #: 7988
    Plan Type: POS
    Coverage Start Date: 2025-01-24
    Coverage End Date: 2028-03-15
    Issuer: Rios-Fowler
    ",health_insurance_card
"
    Invoice #: 9144
    Date: 2025-01-30
    Billed To: Anthony Summers
    Address: 571 Sarah Village
Port Kathyhaven, NM 06089
    - believe: $175
- inside: $475
- hand: $323
    Total: $113
    ",invoice
"
    Bank Statement
    Name: Joseph James
    Account #: GB88MANE62153050693300
    2025-02-16 - Jones, Moses and Gordon - $151
2025-03-09 - Stewart, Sanders and Rivas - $140
2025-05-11 - Burnett-Burns - $291
2025-01-09 - Young Group - $154
2025-05-05 - Lawrence Inc - $211
    Closing Balance: $1018
    ",bank_statement
"
    Driver's License
    Name: Emily Randolph
    Address: Unit 0522 Box 9023
DPO AE 81035
    DOB: 1992-05-04
    License #: ns645511
    Expiry: 2029-05-11
    ",drivers_license
"
    Health Insurance Card
    Name: Shannon Webb
    Policy Number: Ua040519191
    Member ID: 2eefd934-e9dc-466b-99a6-818ba69ea213
    Group #: 7396
    Plan Type: PPO
    Coverage Start Date: 2025-02-20
    Coverage End Date: 2027-07-09
    Issuer: Walker, Daugherty and Blackburn
    ",health_insurance_card
"
    Invoice #: 6803
    Date: 2025-03-21
    Billed To: Jacob Wagner
    Address: 3518 Ryan Hollow
Dakotaberg, RI 39019
    - size: $165
- month: $335
- tell: $392
    Total: $634
    ",invoice
"
    Bank Statement
    Name: Shannon Conner
    Account #: GB08GPIT27295058272964
    2025-03-04 - Wallace-Watson - $63
2025-04-02 - Black, Grimes and Graves - $229
2025-01-16 - Mcdonald-Frey - $300
2025-03-20 - Dawson Ltd - $156
2025-04-23 - Torres Inc - $220
    Closing Balance: $4740
    ",bank_statement
"
    Driver's License
    Name: Trevor Perkins
    Address: 384 Davis Unions
Bellfort, PR 66302
    DOB: 1973-11-20
    License #: DC805234
    Expiry: 2030-10-29
    ",drivers_license
"
    Health Insurance Card
    Name: Pamela Clark
    Policy Number: CI626031723
    Member ID: 6b3233c8-2c36-4ab6-9221-75763b1840de
    Group #: 2456
    Plan Type: HMO
    Coverage Start Date: 2025-01-16
    Coverage End Date: 2029-07-22
    Issuer: Morris, Roth and Carpenter
    ",health_insurance_card
"
    Invoice #: 4777
    Date: 2025-03-06
    Billed To: George Jimenez
    Address: 3257 West Ridges Apt. 560
Ethanstad, WV 98188
    - would: $286
- born: $232
- purpose: $236
    Total: $753
    ",invoice
"
    Bank Statement
    Name: Teresa Warren
    Account #: GB30NVKL12647608398433
    2025-05-11 - Gordon Group - $158
2025-03-23 - Brown, Garcia and Johnson - $266
2025-01-29 - Martin-Nguyen - $139
2025-03-02 - Brown, Owens and Boyle - $55
2025-03-14 - Smith-Perkins - $164
    Closing Balance: $1697
    ",bank_statement
"
    Driver's License
    Name: Bryan Stephens
    Address: 4775 Esparza Roads
South Timothy, SD 29039
    DOB: 1939-06-08
    License #: AR832016
    Expiry: 2031-08-13
    ",drivers_license
"
    Health Insurance Card
    Name: Sarah Russell
    Policy Number: XV659301321
    Member ID: 1595c890-0b75-4305-b6e6-68ae09846e76
    Group #: 7193
    Plan Type: POS
    Coverage Start Date: 2025-03-12
    Coverage End Date: 2027-07-15
    Issuer: Baxter-Simon
    ",health_insurance_card
"
    Invoice #: 5667
    Date: 2025-04-28
    Billed To: Kelly Huff
    Address: 0340 Michael Way
North Meghantown, AL 66357
    - soldier: $267
- according: $344
- number: $370
    Total: $636
    ",invoice
"
    Bank Statement
    Name: Ricky Hawkins
    Account #: GB39GGIG89466194520494
    2025-01-07 - Johnson, Jones and Kim - $65
2025-01-29 - Phelps-Salinas - $178
2025-01-20 - Martin PLC - $65
2025-01-17 - Walker-Kennedy - $85
2025-01-12 - Hall Group - $203
    Closing Balance: $3102
    ",bank_statement
"
    Driver's License
    Name: Daniel Humphrey
    Address: 309 Adam Squares Apt. 716
Williamport, HI 86833
    DOB: 1985-12-10
    License #: aU867301
    Expiry: 2035-03-15
    ",drivers_license
"
    Health Insurance Card
    Name: Clayton Washington
    Policy Number: fX130639873
    Member ID: 092667ba-8781-4ecf-88f1-8390ec8e9345
    Group #: 3929
    Plan Type: EPO
    Coverage Start Date: 2025-01-01
    Coverage End Date: 2027-09-02
    Issuer: Turner Ltd
    ",health_insurance_card
"
    Invoice #: 9999
    Date: 2025-01-12
    Billed To: Mary Miller
    Address: PSC 0310, Box 7456
APO AP 27105
    - bit: $187
- rise: $400
- quickly: $385
    Total: $411
    ",invoice
"
    Bank Statement
    Name: Sean Gay
    Account #: GB58WRVR75574725699903
    2025-03-24 - Oconnell Ltd - $29
2025-01-14 - Nelson Group - $263
2025-02-23 - Farmer, Collins and Wise - $239
2025-01-28 - Smith-Banks - $92
2025-01-24 - Sutton and Sons - $117
    Closing Balance: $2262
    ",bank_statement
"
    Driver's License
    Name: Todd Neal
    Address: 421 Alicia Fields
West Michelle, WV 00578
    DOB: 1962-01-27
    License #: EB570125
    Expiry: 2028-03-07
    ",drivers_license
"
    Health Insurance Card
    Name: Matthew Kennedy
    Policy Number: qM004553469
    Member ID: bbec40aa-31e8-4703-a8b5-382d210fd703
    Group #: 7015
    Plan Type: PPO
    Coverage Start Date: 2025-03-22
    Coverage End Date: 2028-01-07
    Issuer: White, Brooks and Hernandez
    ",health_insurance_card
"
    Invoice #: 3521
    Date: 2025-03-12
    Billed To: Samantha Lee
    Address: 8835 Angel Fall
Williamsshire, GU 15687
    - ready: $150
- clearly: $177
- spring: $482
    Total: $105
    ",invoice
"
    Bank Statement
    Name: Crystal Chen
    Account #: GB39BNFK14007339995431
    2025-02-08 - Henry, Rhodes and Young - $299
2025-05-04 - Wong LLC - $72
2025-03-13 - Garza LLC - $21
2025-01-28 - Colon and Sons - $64
2025-03-29 - Chapman-Mitchell - $181
    Closing Balance: $3252
    ",bank_statement
"
    Driver's License
    Name: Tiffany Ellis
    Address: 37052 Perry Rest Apt. 999
North Lisaport, IL 61818
    DOB: 1997-02-11
    License #: gl342689
    Expiry: 2030-12-05
    ",drivers_license
"
    Health Insurance Card
    Name: Jessica Green
    Policy Number: fL372327295
    Member ID: 7950e721-6c09-427c-b068-e70d24796056
    Group #: 2611
    Plan Type: PPO
    Coverage Start Date: 2025-04-20
    Coverage End Date: 2026-11-18
    Issuer: Davis and Sons
    ",health_insurance_card
"
    Invoice #: 3523
    Date: 2025-01-25
    Billed To: Erin Tate
    Address: 7516 Michelle Glens
West Isaiahborough, KS 15864
    - result: $400
- late: $82
- across: $215
    Total: $652
    ",invoice
